epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,360.61,0.90767,0.78299,1.06726,0.78914,0.37937,0.49251,0.36436,1.25997,1.67575,1.26049,2.82863e-05,2.82863e-05,2.82863e-05
79,365.279,0.85107,0.74056,1.05362,0.79526,0.37635,0.49129,0.36358,1.25732,1.66528,1.25857,2.71082e-05,2.71082e-05,2.71082e-05
80,369.81,0.83214,0.74048,1.02612,0.78403,0.38671,0.49584,0.36685,1.25685,1.67034,1.25452,2.59301e-05,2.59301e-05,2.59301e-05
81,374.34,0.86071,0.73006,1.0478,0.7352,0.38826,0.49482,0.3618,1.26223,1.66846,1.26147,2.4752e-05,2.4752e-05,2.4752e-05
82,378.798,0.85528,0.75662,1.03315,0.85225,0.35578,0.49916,0.36202,1.2735,1.66761,1.26883,2.35739e-05,2.35739e-05,2.35739e-05
83,383.355,0.87597,0.75665,1.04263,0.78176,0.39134,0.50023,0.36068,1.27167,1.66451,1.26545,2.23958e-05,2.23958e-05,2.23958e-05
84,387.958,0.84647,0.75668,1.03926,0.77918,0.38601,0.49652,0.36333,1.27325,1.67725,1.26739,2.12177e-05,2.12177e-05,2.12177e-05
85,392.556,0.8498,0.74463,1.03125,0.78169,0.38468,0.49327,0.35945,1.26795,1.67922,1.26386,2.00396e-05,2.00396e-05,2.00396e-05
86,396.983,0.8529,0.74689,1.05374,0.7803,0.38321,0.48787,0.35625,1.26671,1.68987,1.26116,1.88615e-05,1.88615e-05,1.88615e-05
87,401.595,0.84498,0.71711,1.04826,0.77964,0.38869,0.49999,0.3703,1.27083,1.68123,1.26712,1.76834e-05,1.76834e-05,1.76834e-05
88,406.176,0.86149,0.76539,1.05451,0.85723,0.34934,0.49602,0.36703,1.26398,1.68096,1.26396,1.65053e-05,1.65053e-05,1.65053e-05
89,410.696,0.88934,0.77183,1.04956,0.85377,0.3508,0.49585,0.36734,1.26182,1.68415,1.26194,1.53272e-05,1.53272e-05,1.53272e-05
90,415.229,0.86041,0.75624,1.05704,0.84104,0.35626,0.49708,0.36249,1.26392,1.6825,1.26203,1.41491e-05,1.41491e-05,1.41491e-05
91,446.655,0.88705,0.78817,1.04228,0.72443,0.4069,0.48501,0.34865,1.27859,1.67809,1.26674,1.2971e-05,1.2971e-05,1.2971e-05
92,451.229,0.88987,0.78943,1.03931,0.61125,0.39815,0.45715,0.33388,1.28887,1.7097,1.27798,1.17929e-05,1.17929e-05,1.17929e-05
93,455.858,0.89767,0.77873,1.0353,0.61735,0.39359,0.45401,0.32937,1.29474,1.72209,1.28357,1.06148e-05,1.06148e-05,1.06148e-05
94,460.391,0.8839,0.79112,1.02697,0.60845,0.39234,0.44965,0.32744,1.29377,1.71929,1.27941,9.4367e-06,9.4367e-06,9.4367e-06
95,464.93,0.85479,0.75598,1.02543,0.60995,0.3908,0.44551,0.31815,1.30028,1.73972,1.28409,8.2586e-06,8.2586e-06,8.2586e-06
96,469.384,0.90164,0.77117,1.02639,0.60096,0.41328,0.45087,0.32606,1.29701,1.72441,1.28467,7.0805e-06,7.0805e-06,7.0805e-06
97,474.086,0.87494,0.7487,1.02712,0.58345,0.40028,0.45207,0.32542,1.30006,1.72375,1.28737,5.9024e-06,5.9024e-06,5.9024e-06
98,478.711,0.84344,0.71355,1.01148,0.62136,0.40275,0.45298,0.32664,1.29609,1.71118,1.28419,4.7243e-06,4.7243e-06,4.7243e-06
99,483.205,0.81719,0.67568,0.99913,0.63879,0.39289,0.44917,0.32586,1.29455,1.71316,1.28665,3.5462e-06,3.5462e-06,3.5462e-06
100,487.623,0.84982,0.72029,1.01421,0.57818,0.41263,0.44753,0.32589,1.29402,1.71656,1.28523,2.3681e-06,2.3681e-06,2.3681e-06
